currentLanguage,Portuguese
operatingSystem,PC [Linux 4.18 Ubuntu 18.10 64bit]
ipAddress,
ipCountry,
gameVersion,v190228s
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,60.195430
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.8
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,neuromat-Inspiron-7460
gameDate,190514
gameTime,153258
gameRandom,146
playerAlias,demo
limitPlays,12
totalCorrect,11
successRate,1.0
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,True
finalScoreboard,long
animationType,short
showHistory,True
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,201201201201
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,2,n,2,TRUE,1.477133,0.000000,1.484283
2,0,n,1,false,1.270996,0.000000,7.398153
3,1,n,1,TRUE,0.552164,0.000000,12.554930
4,2,n,2,TRUE,0.574865,0.000000,17.277310
5,0,n,0,TRUE,0.567463,0.000000,22.488130
6,1,n,1,TRUE,0.485451,0.000000,27.170750
7,2,n,2,TRUE,1.182140,0.000000,32.500690
8,0,n,0,TRUE,0.683929,0.000000,37.845600
9,1,n,1,TRUE,0.468456,0.000000,42.516140
10,2,n,2,TRUE,0.271484,0.000000,46.944600
11,0,n,0,TRUE,0.220444,0.000000,51.812880
12,1,n,1,TRUE,0.221680,0.000000,56.242770
