currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v190227
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,AQ
playID,CT-0
phase,0
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,26.972470
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.8
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,celso.local
gameDate,190416
gameTime,113042
gameRandom,921
playerAlias,mane
limitPlays,10
totalCorrect,3
successRate,0.3
gameMode,readTree
status,INTERRUPTED BY USER
playsToRelax,0
scoreboard,True
finalScoreboard,long
animationType,short
showHistory,True
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G1-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHits,0
minHitsInSequence,5
maxPlays,12
sequExecuted,210
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,2,n,2,TRUE,4.145531,0.000000,4.150490
2,1,n,1,TRUE,2.008118,0.000000,10.764860
3,0,n,0,TRUE,1.455833,0.000000,16.324400
